2026-08-17T13:28:43+00:00,54762,308810,668239,966741,3.50,4.52,11.60
2026-08-17T13:28:48+00:00,54728,308844,668239,966775,3.62,4.52,11.57
2026-08-17T13:28:53+00:00,54719,308853,668239,966784,3.57,4.50,11.52
2026-08-17T13:28:58+00:00,54761,308810,668240,966742,3.52,4.47,11.47
2026-08-17T13:29:03+00:00,54747,308825,668240,966756,3.40,4.43,11.42
2026-08-17T13:29:08+00:00,54734,308837,668240,966769,3.45,4.42,11.38
2026-08-17T13:29:13+00:00,54763,308808,668241,966740,3.41,4.40,11.34
2026-08-17T13:29:18+00:00,54740,308831,668241,966764,3.30,4.36,11.29
2026-08-17T13:29:23+00:00,54689,308881,668241,966815,3.20,4.32,11.24
2026-08-17T13:29:28+00:00,54711,308859,668242,966792,3.34,4.33,11.20
2026-08-17T13:29:33+00:00,54785,308785,668242,966718,3.23,4.29,11.15
2026-08-17T13:29:38+00:00,54748,308821,668243,966755,3.30,4.29,11.11
2026-08-17T13:29:43+00:00,54779,308789,668243,966724,3.19,4.25,11.06
2026-08-17T13:29:48+00:00,54731,308837,668243,966772,3.26,4.25,11.03
2026-08-17T13:29:53+00:00,54723,308845,668244,966781,3.16,4.21,10.98
2026-08-17T13:29:58+00:00,54755,308812,668244,966748,3.06,4.17,10.93
2026-08-17T13:30:03+00:00,55832,307734,668245,965671,3.06,4.15,10.89
2026-08-17T13:30:08+00:00,56168,307398,668245,965335,3.13,4.15,10.85
2026-08-17T13:30:13+00:00,55244,308322,668246,966259,3.04,4.11,10.80
2026-08-17T13:30:18+00:00,55074,308491,668246,966429,2.96,4.08,10.75
2026-08-17T13:30:23+00:00,55021,308543,668246,966482,2.96,4.06,10.71
2026-08-17T13:30:28+00:00,54968,308597,668247,966535,2.88,4.02,10.67
2026-08-17T13:30:33+00:00,54887,308677,668247,966616,2.89,4.01,10.62
2026-08-17T13:30:38+00:00,54909,308655,668248,966594,2.98,4.01,10.59
2026-08-17T13:30:43+00:00,54872,308691,668248,966631,2.90,3.97,10.54
2026-08-17T13:30:48+00:00,54884,308678,668248,966619,2.91,3.96,10.50
2026-08-17T13:30:53+00:00,54826,308736,668249,966677,2.84,3.92,10.46
2026-08-17T13:30:58+00:00,54881,308681,668249,966622,2.85,3.91,10.41
2026-08-17T13:31:03+00:00,54861,308701,668249,966643,2.78,3.88,10.37
2026-08-17T13:31:08+00:00,54861,308700,668250,966642,2.80,3.86,10.33
2026-08-17T13:31:13+00:00,54869,308691,668251,966634,2.98,3.88,10.30
2026-08-17T13:31:18+00:00,54863,308698,668251,966641,2.90,3.85,10.26
2026-08-17T13:31:23+00:00,54807,308753,668251,966696,2.83,3.82,10.21
2026-08-17T13:31:28+00:00,54820,308740,668252,966684,2.76,3.79,10.17
2026-08-17T13:31:33+00:00,54769,308790,668252,966735,2.78,3.78,10.13
2026-08-17T13:31:38+00:00,54775,308784,668252,966728,2.80,3.76,10.09
2026-08-17T13:31:43+00:00,54804,308754,668253,966699,2.81,3.75,10.05
2026-08-17T13:31:48+00:00,54765,308793,668253,966738,2.91,3.75,10.02
2026-08-17T13:31:53+00:00,54806,308752,668253,966697,2.92,3.74,9.98
2026-08-17T13:31:58+00:00,54843,308714,668254,966660,2.84,3.71,9.94
2026-08-17T13:32:03+00:00,54826,308731,668254,966677,2.86,3.70,9.90
2026-08-17T13:32:08+00:00,54768,308788,668254,966735,2.87,3.69,9.86
2026-08-17T13:32:13+00:00,54802,308755,668255,966702,2.80,3.66,9.82
2026-08-17T13:32:18+00:00,54753,308803,668255,966750,2.73,3.63,9.78
2026-08-17T13:32:24+00:00,54742,308814,668256,966761,2.75,3.62,9.74
