timestamp_iso,rxpci_mb_s,txpci_mb_s
2026-08-24T12:53:09+00:00,0,0
2026-08-24T12:53:14+00:00,0,0
2026-08-24T12:53:19+00:00,0,0
2026-08-24T12:53:24+00:00,0,0
2026-08-24T12:53:29+00:00,0,0
2026-08-24T12:53:34+00:00,0,0
2026-08-24T12:53:39+00:00,0,0
2026-08-24T12:53:44+00:00,0,0
2026-08-24T12:53:49+00:00,0,0
2026-08-24T12:53:55+00:00,0,0
2026-08-24T12:54:00+00:00,0,0
2026-08-24T12:54:05+00:00,0,0
2026-08-24T12:54:10+00:00,0,0
2026-08-24T12:54:15+00:00,0,0
2026-08-24T12:54:20+00:00,0,0
2026-08-24T12:54:25+00:00,0,0
2026-08-24T12:54:30+00:00,0,0
2026-08-24T12:54:35+00:00,0,0
2026-08-24T12:54:40+00:00,0,0
2026-08-24T12:54:46+00:00,0,0
2026-08-24T12:54:51+00:00,0,0
2026-08-24T12:54:56+00:00,0,1
2026-08-24T12:55:01+00:00,0,0
2026-08-24T12:55:06+00:00,0,0
2026-08-24T12:55:11+00:00,0,0
2026-08-24T12:55:16+00:00,0,0
2026-08-24T12:55:21+00:00,24,28
2026-08-24T12:55:26+00:00,0,0
2026-08-24T12:55:31+00:00,0,0
2026-08-24T12:55:36+00:00,0,0
2026-08-24T12:55:42+00:00,0,0
2026-08-24T12:55:47+00:00,0,0
2026-08-24T12:55:52+00:00,0,1
2026-08-24T12:55:57+00:00,0,0
2026-08-24T12:56:02+00:00,0,0
2026-08-24T12:56:07+00:00,0,0
2026-08-24T12:56:12+00:00,0,0
2026-08-24T12:56:17+00:00,0,0
2026-08-24T12:56:22+00:00,0,0
2026-08-24T12:56:27+00:00,0,0
2026-08-24T12:56:32+00:00,0,0
2026-08-24T12:56:38+00:00,0,0
2026-08-24T12:56:43+00:00,0,0
2026-08-24T12:56:48+00:00,0,0
2026-08-24T12:56:53+00:00,0,0
2026-08-24T12:56:58+00:00,0,0
2026-08-24T12:57:03+00:00,0,0
2026-08-24T12:57:08+00:00,0,0
2026-08-24T12:57:13+00:00,0,0
2026-08-24T12:57:18+00:00,0,0
2026-08-24T12:57:23+00:00,0,0
2026-08-24T12:57:28+00:00,0,0
2026-08-24T12:57:34+00:00,0,0
2026-08-24T12:57:39+00:00,0,0
2026-08-24T12:57:44+00:00,0,0
2026-08-24T12:57:49+00:00,0,0
2026-08-24T12:57:54+00:00,0,0
2026-08-24T12:57:59+00:00,0,0
2026-08-24T12:58:04+00:00,0,0
2026-08-24T12:58:09+00:00,0,0
2026-08-24T12:58:14+00:00,0,0
2026-08-24T12:58:19+00:00,0,0
2026-08-24T12:58:24+00:00,0,0
2026-08-24T12:58:30+00:00,0,0
2026-08-24T12:58:35+00:00,0,0
2026-08-24T12:58:40+00:00,0,0
2026-08-24T12:58:45+00:00,0,0
2026-08-24T12:58:50+00:00,0,8504
2026-08-24T12:58:55+00:00,0,0
2026-08-24T12:59:00+00:00,0,0
2026-08-24T12:59:05+00:00,144,0
2026-08-24T12:59:10+00:00,0,0
2026-08-24T12:59:15+00:00,0,0
2026-08-24T12:59:20+00:00,0,0
2026-08-24T12:59:26+00:00,0,0
2026-08-24T12:59:31+00:00,0,0
2026-08-24T12:59:36+00:00,0,0
2026-08-24T12:59:41+00:00,0,0
2026-08-24T12:59:46+00:00,0,0
2026-08-24T12:59:51+00:00,0,0
2026-08-24T12:59:56+00:00,0,0
2026-08-24T13:00:01+00:00,0,0
2026-08-24T13:00:06+00:00,0,1
2026-08-24T13:00:11+00:00,0,0
2026-08-24T13:00:16+00:00,0,0
2026-08-24T13:00:22+00:00,0,0
2026-08-24T13:00:27+00:00,0,0
2026-08-24T13:00:32+00:00,0,0
2026-08-24T13:00:37+00:00,0,0
2026-08-24T13:00:42+00:00,0,0
2026-08-24T13:00:47+00:00,0,0
2026-08-24T13:00:52+00:00,0,0
2026-08-24T13:00:57+00:00,0,0
2026-08-24T13:01:02+00:00,0,1
2026-08-24T13:01:07+00:00,0,0
2026-08-24T13:01:12+00:00,0,0
2026-08-24T13:01:18+00:00,0,0
2026-08-24T13:01:23+00:00,0,0
2026-08-24T13:01:28+00:00,0,0
2026-08-24T13:01:33+00:00,0,0
2026-08-24T13:01:38+00:00,0,0
2026-08-24T13:01:43+00:00,0,0
2026-08-24T13:01:48+00:00,0,0
2026-08-24T13:01:53+00:00,0,0
2026-08-24T13:01:58+00:00,0,1
2026-08-24T13:02:03+00:00,0,0
2026-08-24T13:02:08+00:00,0,0
