timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/08/12 19:49:51.335, 0 %, 0 %, 1 MiB, 24123 MiB, 23.01 W, 28, 210 MHz, 405 MHz
2026/08/12 19:49:53.335, 0 %, 0 %, 1 MiB, 24123 MiB, 23.08 W, 28, 210 MHz, 405 MHz
2026/08/12 19:49:55.336, 0 %, 0 %, 1 MiB, 24123 MiB, 22.91 W, 28, 210 MHz, 405 MHz
2026/08/12 19:49:57.336, 0 %, 0 %, 1 MiB, 24123 MiB, 22.72 W, 28, 210 MHz, 405 MHz
2026/08/12 19:49:59.337, 0 %, 0 %, 1 MiB, 24123 MiB, 22.83 W, 28, 210 MHz, 405 MHz
2026/08/12 19:50:01.337, 0 %, 0 %, 1 MiB, 24123 MiB, 22.81 W, 28, 210 MHz, 405 MHz
2026/08/12 19:50:03.338, 0 %, 0 %, 1 MiB, 24123 MiB, 22.86 W, 28, 210 MHz, 405 MHz
2026/08/12 19:50:05.338, 0 %, 0 %, 4 MiB, 24120 MiB, 24.97 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:07.339, 7 %, 0 %, 1 MiB, 24123 MiB, 110.21 W, 31, 1695 MHz, 9751 MHz
2026/08/12 19:50:09.340, 0 %, 0 %, 1 MiB, 24123 MiB, 108.19 W, 32, 390 MHz, 810 MHz
2026/08/12 19:50:11.340, 0 %, 0 %, 1 MiB, 24123 MiB, 24.83 W, 30, 210 MHz, 405 MHz
2026/08/12 19:50:13.341, 0 %, 0 %, 1 MiB, 24123 MiB, 23.10 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:15.341, 0 %, 0 %, 1 MiB, 24123 MiB, 23.25 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:17.342, 0 %, 0 %, 1 MiB, 24123 MiB, 23.18 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:19.342, 0 %, 0 %, 1 MiB, 24123 MiB, 23.04 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:21.343, 0 %, 0 %, 1 MiB, 24123 MiB, 23.09 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:23.343, 0 %, 0 %, 1 MiB, 24123 MiB, 23.19 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:25.343, 0 %, 0 %, 1 MiB, 24123 MiB, 22.92 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:27.344, 0 %, 0 %, 1 MiB, 24123 MiB, 23.06 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:29.344, 0 %, 0 %, 1 MiB, 24123 MiB, 23.08 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:31.345, 0 %, 0 %, 1 MiB, 24123 MiB, 23.05 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:33.345, 0 %, 0 %, 1 MiB, 24123 MiB, 23.25 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:35.346, 0 %, 0 %, 1 MiB, 24123 MiB, 23.10 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:37.346, 0 %, 0 %, 1 MiB, 24123 MiB, 22.96 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:39.347, 0 %, 0 %, 1 MiB, 24123 MiB, 22.97 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:41.347, 0 %, 0 %, 1 MiB, 24123 MiB, 22.89 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:43.348, 0 %, 0 %, 1 MiB, 24123 MiB, 22.65 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:45.348, 0 %, 0 %, 1 MiB, 24123 MiB, 22.76 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:47.349, 0 %, 0 %, 1 MiB, 24123 MiB, 22.84 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:49.349, 0 %, 0 %, 1 MiB, 24123 MiB, 22.75 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:51.350, 0 %, 0 %, 1 MiB, 24123 MiB, 22.65 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:53.350, 0 %, 0 %, 1 MiB, 24123 MiB, 22.96 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:55.350, 0 %, 0 %, 4 MiB, 24120 MiB, 23.99 W, 29, 210 MHz, 405 MHz
2026/08/12 19:50:57.351, 5 %, 0 %, 1332 MiB, 22793 MiB, 109.36 W, 32, 1695 MHz, 9501 MHz
2026/08/12 19:50:59.351, 4 %, 0 %, 1336 MiB, 22789 MiB, 109.60 W, 32, 1695 MHz, 9501 MHz
2026/08/12 19:51:01.352, 0 %, 0 %, 19758 MiB, 4367 MiB, 109.54 W, 32, 1695 MHz, 9501 MHz
2026/08/12 19:51:03.352, 1 %, 0 %, 19758 MiB, 4367 MiB, 109.61 W, 33, 1695 MHz, 9501 MHz
2026/08/12 19:51:05.353, 1 %, 0 %, 19758 MiB, 4367 MiB, 109.82 W, 33, 1695 MHz, 9501 MHz
2026/08/12 19:51:07.353, 0 %, 0 %, 19758 MiB, 4367 MiB, 110.06 W, 33, 1695 MHz, 9501 MHz
2026/08/12 19:51:09.354, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.29 W, 34, 1695 MHz, 9501 MHz
2026/08/12 19:51:11.354, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.76 W, 34, 1695 MHz, 9501 MHz
2026/08/12 19:51:13.355, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.63 W, 34, 1695 MHz, 9501 MHz
2026/08/12 19:51:15.355, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.53 W, 35, 1695 MHz, 9501 MHz
2026/08/12 19:51:17.356, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.62 W, 35, 1695 MHz, 9501 MHz
2026/08/12 19:51:19.356, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.65 W, 35, 1695 MHz, 9501 MHz
2026/08/12 19:51:21.357, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.77 W, 36, 1695 MHz, 9501 MHz
2026/08/12 19:51:23.357, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.86 W, 36, 1695 MHz, 9501 MHz
2026/08/12 19:51:25.358, 1 %, 0 %, 19758 MiB, 4367 MiB, 110.77 W, 36, 1695 MHz, 9501 MHz
2026/08/12 19:51:27.358, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.00 W, 36, 1695 MHz, 9501 MHz
2026/08/12 19:51:29.359, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.17 W, 37, 1695 MHz, 9501 MHz
2026/08/12 19:51:31.359, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.23 W, 37, 1695 MHz, 9501 MHz
2026/08/12 19:51:33.360, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.39 W, 37, 1695 MHz, 9501 MHz
2026/08/12 19:51:35.362, 1 %, 0 %, 19758 MiB, 4367 MiB, 111.71 W, 37, 1695 MHz, 9501 MHz
2026/08/12 19:51:37.362, 1 %, 0 %, 19758 MiB, 4367 MiB, 112.25 W, 37, 1695 MHz, 9501 MHz
2026/08/12 19:51:39.363, 1 %, 0 %, 19758 MiB, 4367 MiB, 112.27 W, 38, 1695 MHz, 9501 MHz
2026/08/12 19:51:41.363, 1 %, 0 %, 19758 MiB, 4367 MiB, 112.60 W, 38, 1695 MHz, 9501 MHz
2026/08/12 19:51:43.364, 1 %, 0 %, 19758 MiB, 4367 MiB, 112.58 W, 38, 1695 MHz, 9501 MHz
2026/08/12 19:51:45.365, 1 %, 0 %, 19758 MiB, 4367 MiB, 112.72 W, 38, 1695 MHz, 9501 MHz
2026/08/12 19:51:47.365, 1 %, 0 %, 19758 MiB, 4367 MiB, 112.94 W, 39, 1695 MHz, 9501 MHz
2026/08/12 19:51:49.366, 1 %, 0 %, 19758 MiB, 4367 MiB, 112.82 W, 39, 1695 MHz, 9501 MHz
2026/08/12 19:51:51.366, 1 %, 0 %, 19758 MiB, 4367 MiB, 112.64 W, 39, 1695 MHz, 9501 MHz
2026/08/12 19:51:53.367, 0 %, 0 %, 19758 MiB, 4367 MiB, 112.75 W, 39, 1695 MHz, 9501 MHz
2026/08/12 19:51:55.367, 1 %, 0 %, 19758 MiB, 4367 MiB, 112.64 W, 39, 1695 MHz, 9501 MHz
2026/08/12 19:51:57.368, 0 %, 0 %, 19758 MiB, 4367 MiB, 112.79 W, 39, 1695 MHz, 9501 MHz
2026/08/12 19:51:59.368, 0 %, 0 %, 19758 MiB, 4367 MiB, 112.67 W, 40, 1695 MHz, 9501 MHz
2026/08/12 19:52:01.369, 0 %, 0 %, 19758 MiB, 4367 MiB, 112.68 W, 40, 1695 MHz, 9501 MHz
2026/08/12 19:52:03.369, 0 %, 0 %, 19758 MiB, 4367 MiB, 112.82 W, 40, 1695 MHz, 9501 MHz
2026/08/12 19:52:05.370, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.30 W, 40, 1695 MHz, 9501 MHz
2026/08/12 19:52:07.371, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.18 W, 40, 1695 MHz, 9501 MHz
2026/08/12 19:52:09.371, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.10 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:52:11.372, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.20 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:52:13.372, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.35 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:52:15.373, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.23 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:52:17.373, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.18 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:52:19.374, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.09 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:52:21.374, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.34 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:52:23.374, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.03 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:52:25.375, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.24 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:52:27.375, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.31 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:52:29.376, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.50 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:52:31.376, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.62 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:52:33.377, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.85 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:52:35.377, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.87 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:52:37.378, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.96 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:52:39.378, 0 %, 0 %, 19758 MiB, 4367 MiB, 114.12 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:52:41.379, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.88 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:52:43.379, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.04 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:52:45.380, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.94 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:52:47.380, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.14 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:52:49.381, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.02 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:52:51.381, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.04 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:52:53.382, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.11 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:52:55.382, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.23 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:52:57.383, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.57 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:52:59.383, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.31 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:53:01.384, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.28 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:53:03.384, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.46 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:53:05.385, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.52 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:53:07.385, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.51 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:53:09.385, 0 %, 0 %, 19758 MiB, 4367 MiB, 114.51 W, 45, 1695 MHz, 9501 MHz
2026/08/12 19:53:11.386, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.54 W, 45, 1695 MHz, 9501 MHz
2026/08/12 19:53:13.386, 29 %, 1 %, 21502 MiB, 2623 MiB, 130.21 W, 46, 1935 MHz, 9501 MHz
2026/08/12 19:53:15.387, 100 %, 45 %, 21994 MiB, 2131 MiB, 330.81 W, 51, 1905 MHz, 9501 MHz
2026/08/12 19:53:17.387, 100 %, 47 %, 21994 MiB, 2131 MiB, 343.16 W, 53, 1920 MHz, 9501 MHz
2026/08/12 19:53:19.387, 0 %, 0 %, 22128 MiB, 1997 MiB, 176.89 W, 49, 1935 MHz, 9501 MHz
2026/08/12 19:53:21.388, 0 %, 0 %, 22132 MiB, 1993 MiB, 115.59 W, 48, 1695 MHz, 9501 MHz
2026/08/12 19:53:23.388, 94 %, 45 %, 23278 MiB, 847 MiB, 253.98 W, 53, 1755 MHz, 9501 MHz
2026/08/12 19:53:25.389, 85 %, 39 %, 23278 MiB, 847 MiB, 340.01 W, 55, 1785 MHz, 9501 MHz
2026/08/12 19:53:27.389, 100 %, 44 %, 23278 MiB, 847 MiB, 343.21 W, 56, 1770 MHz, 9501 MHz
2026/08/12 19:53:29.390, 89 %, 32 %, 23394 MiB, 731 MiB, 328.99 W, 56, 1770 MHz, 9501 MHz
2026/08/12 19:53:31.390, 100 %, 44 %, 23394 MiB, 731 MiB, 342.80 W, 57, 1815 MHz, 9501 MHz
2026/08/12 19:53:33.390, 89 %, 45 %, 23394 MiB, 731 MiB, 343.20 W, 57, 1770 MHz, 9501 MHz
2026/08/12 19:53:35.391, 100 %, 42 %, 23396 MiB, 729 MiB, 335.54 W, 58, 1845 MHz, 9501 MHz
2026/08/12 19:53:37.391, 91 %, 37 %, 23396 MiB, 729 MiB, 336.93 W, 59, 1740 MHz, 9501 MHz
2026/08/12 19:53:39.392, 92 %, 49 %, 23396 MiB, 729 MiB, 343.63 W, 59, 1770 MHz, 9501 MHz
2026/08/12 19:53:41.392, 89 %, 31 %, 23396 MiB, 729 MiB, 324.50 W, 59, 1770 MHz, 9501 MHz
2026/08/12 19:53:43.393, 89 %, 40 %, 23396 MiB, 729 MiB, 338.05 W, 60, 1755 MHz, 9501 MHz
2026/08/12 19:53:45.394, 97 %, 43 %, 23396 MiB, 729 MiB, 344.90 W, 60, 1845 MHz, 9501 MHz
2026/08/12 19:53:47.394, 100 %, 44 %, 23398 MiB, 727 MiB, 329.88 W, 61, 1875 MHz, 9501 MHz
2026/08/12 19:53:49.394, 94 %, 40 %, 23398 MiB, 727 MiB, 340.22 W, 61, 1740 MHz, 9501 MHz
2026/08/12 19:53:51.395, 88 %, 44 %, 23398 MiB, 727 MiB, 340.93 W, 61, 1740 MHz, 9501 MHz
2026/08/12 19:53:53.396, 100 %, 24 %, 23400 MiB, 725 MiB, 328.08 W, 60, 1845 MHz, 9501 MHz
2026/08/12 19:53:55.396, 86 %, 38 %, 23400 MiB, 725 MiB, 338.89 W, 62, 1785 MHz, 9501 MHz
2026/08/12 19:53:57.397, 0 %, 0 %, 23400 MiB, 725 MiB, 233.39 W, 58, 1920 MHz, 9501 MHz
2026/08/12 19:53:59.397, 0 %, 0 %, 23381 MiB, 744 MiB, 128.87 W, 56, 1695 MHz, 9501 MHz
2026/08/12 19:54:01.397, 0 %, 0 %, 1 MiB, 24123 MiB, 147.87 W, 56, 1920 MHz, 9501 MHz
2026/08/12 19:54:03.398, 0 %, 0 %, 1 MiB, 24123 MiB, 141.93 W, 55, 1695 MHz, 9751 MHz
2026/08/12 19:54:05.398, 0 %, 0 %, 1 MiB, 24123 MiB, 61.66 W, 52, 210 MHz, 810 MHz
2026/08/12 19:54:07.399, 0 %, 0 %, 1 MiB, 24123 MiB, 26.44 W, 51, 210 MHz, 405 MHz
2026/08/12 19:54:09.399, 0 %, 0 %, 1 MiB, 24123 MiB, 25.00 W, 49, 210 MHz, 405 MHz
2026/08/12 19:54:11.400, 0 %, 0 %, 1 MiB, 24123 MiB, 24.60 W, 48, 210 MHz, 405 MHz
2026/08/12 19:54:13.401, 0 %, 0 %, 1 MiB, 24123 MiB, 24.84 W, 47, 210 MHz, 405 MHz
2026/08/12 19:54:15.401, 0 %, 0 %, 1 MiB, 24123 MiB, 24.41 W, 46, 210 MHz, 405 MHz
2026/08/12 19:54:17.402, 0 %, 0 %, 1 MiB, 24123 MiB, 24.41 W, 45, 210 MHz, 405 MHz
2026/08/12 19:54:19.402, 0 %, 0 %, 1 MiB, 24123 MiB, 24.06 W, 44, 210 MHz, 405 MHz
2026/08/12 19:54:21.403, 0 %, 0 %, 1 MiB, 24123 MiB, 24.03 W, 43, 210 MHz, 405 MHz
2026/08/12 19:54:23.403, 0 %, 0 %, 1 MiB, 24123 MiB, 23.96 W, 42, 210 MHz, 405 MHz
2026/08/12 19:54:25.404, 0 %, 0 %, 1 MiB, 24123 MiB, 23.98 W, 42, 210 MHz, 405 MHz
2026/08/12 19:54:27.404, 0 %, 0 %, 1 MiB, 24123 MiB, 24.04 W, 41, 210 MHz, 405 MHz
2026/08/12 19:54:29.405, 0 %, 0 %, 1 MiB, 24123 MiB, 23.59 W, 41, 210 MHz, 405 MHz
2026/08/12 19:54:31.405, 0 %, 0 %, 1 MiB, 24123 MiB, 23.72 W, 40, 210 MHz, 405 MHz
2026/08/12 19:54:33.406, 0 %, 0 %, 1 MiB, 24123 MiB, 23.56 W, 40, 210 MHz, 405 MHz
2026/08/12 19:54:35.406, 0 %, 0 %, 1 MiB, 24123 MiB, 23.39 W, 39, 210 MHz, 405 MHz
2026/08/12 19:54:37.407, 0 %, 0 %, 1 MiB, 24123 MiB, 23.50 W, 39, 210 MHz, 405 MHz
2026/08/12 19:54:39.407, 4 %, 0 %, 1330 MiB, 22795 MiB, 104.91 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:54:41.408, 5 %, 0 %, 1334 MiB, 22791 MiB, 113.95 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:54:43.408, 0 %, 0 %, 19758 MiB, 4367 MiB, 114.12 W, 41, 1695 MHz, 9501 MHz
2026/08/12 19:54:45.409, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.86 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:54:47.409, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.86 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:54:49.410, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.95 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:54:51.410, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.85 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:54:53.411, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.80 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:54:55.411, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.04 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:54:57.412, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.86 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:54:59.412, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.19 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:55:01.413, 2 %, 0 %, 19758 MiB, 4367 MiB, 114.09 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:55:03.413, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.11 W, 42, 1695 MHz, 9501 MHz
2026/08/12 19:55:05.414, 1 %, 0 %, 19758 MiB, 4367 MiB, 113.98 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:07.414, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.44 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:09.415, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.18 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:11.415, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.21 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:13.416, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.39 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:15.416, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.41 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:17.417, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.29 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:19.418, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.43 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:21.419, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.32 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:23.419, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.60 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:25.420, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.34 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:27.420, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.36 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:29.421, 0 %, 0 %, 19758 MiB, 4367 MiB, 114.22 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:31.421, 0 %, 0 %, 19758 MiB, 4367 MiB, 114.07 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:33.422, 0 %, 0 %, 19758 MiB, 4367 MiB, 114.08 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:35.422, 0 %, 0 %, 19758 MiB, 4367 MiB, 114.00 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:37.423, 0 %, 0 %, 19758 MiB, 4367 MiB, 113.85 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:39.423, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.07 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:41.424, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.33 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:43.424, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.35 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:45.425, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.44 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:47.425, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.30 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:49.426, 0 %, 0 %, 19758 MiB, 4367 MiB, 114.15 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:51.426, 0 %, 0 %, 19758 MiB, 4367 MiB, 114.10 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:53.427, 0 %, 0 %, 19758 MiB, 4367 MiB, 114.07 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:55.427, 0 %, 0 %, 19758 MiB, 4367 MiB, 114.07 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:55:57.427, 0 %, 0 %, 19758 MiB, 4367 MiB, 114.29 W, 43, 1695 MHz, 9501 MHz
2026/08/12 19:55:59.428, 0 %, 0 %, 19758 MiB, 4367 MiB, 114.25 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:01.428, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.33 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:03.429, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.19 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:05.429, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.48 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:07.430, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.41 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:09.431, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.39 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:11.431, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.53 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:13.432, 0 %, 0 %, 19758 MiB, 4367 MiB, 114.59 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:15.432, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.51 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:17.433, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.43 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:19.433, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.60 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:21.434, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.43 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:23.434, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.62 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:25.435, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.51 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:27.435, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.63 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:29.436, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.59 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:31.437, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.40 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:33.437, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.43 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:35.438, 1 %, 0 %, 19758 MiB, 4367 MiB, 114.53 W, 44, 1695 MHz, 9501 MHz
2026/08/12 19:56:37.438, 92 %, 3 %, 19788 MiB, 4337 MiB, 115.27 W, 44, 1935 MHz, 9501 MHz
2026/08/12 19:56:39.439, 100 %, 38 %, 21994 MiB, 2131 MiB, 275.82 W, 49, 1905 MHz, 9501 MHz
2026/08/12 19:56:41.439, 100 %, 43 %, 21994 MiB, 2131 MiB, 343.11 W, 52, 1890 MHz, 9501 MHz
2026/08/12 19:56:43.440, 0 %, 0 %, 21994 MiB, 2131 MiB, 303.83 W, 49, 1935 MHz, 9501 MHz
2026/08/12 19:56:45.440, 0 %, 0 %, 22130 MiB, 1995 MiB, 129.14 W, 47, 1695 MHz, 9501 MHz
2026/08/12 19:56:47.441, 0 %, 0 %, 22134 MiB, 1991 MiB, 116.16 W, 47, 1695 MHz, 9501 MHz
2026/08/12 19:56:49.442, 97 %, 44 %, 23278 MiB, 847 MiB, 333.15 W, 53, 1770 MHz, 9501 MHz
