timestamp_iso,name,cpu_pct,mem_usage,mem_pct
2026-08-17T14:04:00+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,273.86%,54.22GiB / 436.8GiB,12.41%
2026-08-17T14:04:11+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,277.41%,54.14GiB / 436.8GiB,12.40%
2026-08-17T14:04:23+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,274.26%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:04:34+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,279.01%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:04:47+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,276.28%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:04:58+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,274.14%,54.25GiB / 436.8GiB,12.42%
2026-08-17T14:05:10+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,280.28%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:05:21+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,269.24%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:05:33+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,295.50%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:05:44+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,291.06%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:05:57+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,282.95%,54.26GiB / 436.8GiB,12.42%
2026-08-17T14:06:08+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,289.46%,54GiB / 436.8GiB,12.36%
2026-08-17T14:06:20+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,268.33%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:06:31+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,288.00%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:06:43+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,308.49%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:06:55+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,278.91%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:07:07+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,278.77%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:07:18+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,257.79%,54.14GiB / 436.8GiB,12.40%
2026-08-17T14:07:30+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,273.53%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:07:41+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,262.18%,54.17GiB / 436.8GiB,12.40%
2026-08-17T14:07:53+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,264.74%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:08:04+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,283.77%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:08:17+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,266.43%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:08:28+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,432.05%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:08:40+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,278.45%,54.12GiB / 436.8GiB,12.39%
2026-08-17T14:08:52+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,268.99%,54.05GiB / 436.8GiB,12.38%
2026-08-17T14:09:03+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,283.77%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:09:15+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,266.38%,54.13GiB / 436.8GiB,12.39%
2026-08-17T14:09:27+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,267.31%,54.18GiB / 436.8GiB,12.40%
2026-08-17T14:09:38+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,269.98%,53.99GiB / 436.8GiB,12.36%
2026-08-17T14:09:50+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,265.89%,54.08GiB / 436.8GiB,12.38%
2026-08-17T14:10:02+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,283.39%,54.28GiB / 436.8GiB,12.43%
2026-08-17T14:10:13+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,276.09%,54.16GiB / 436.8GiB,12.40%
2026-08-17T14:10:25+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,240.66%,53.92GiB / 436.8GiB,12.35%
2026-08-17T14:10:37+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,272.09%,53.97GiB / 436.8GiB,12.36%
2026-08-17T14:10:48+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,253.17%,54.2GiB / 436.8GiB,12.41%
2026-08-17T14:11:00+02:00,vmemoryfabric-osx-dev-run-4601a24ea13a,103.27%,20.85GiB / 436.8GiB,4.77%
2026-08-17T14:11:32+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,4.11%,312.1MiB / 436.8GiB,0.07%
2026-08-17T14:11:44+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,82.89%,624.7MiB / 436.8GiB,0.14%
2026-08-17T14:11:56+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,99.41%,1.084GiB / 436.8GiB,0.25%
2026-08-17T14:12:08+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,100.89%,4.936GiB / 436.8GiB,1.13%
2026-08-17T14:12:19+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,101.07%,4.937GiB / 436.8GiB,1.13%
2026-08-17T14:12:31+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,590.39%,9.952GiB / 436.8GiB,2.28%
2026-08-17T14:12:43+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,633.34%,14.4GiB / 436.8GiB,3.30%
2026-08-17T14:12:54+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,515.07%,18.69GiB / 436.8GiB,4.28%
2026-08-17T14:13:07+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,569.75%,23.79GiB / 436.8GiB,5.45%
2026-08-17T14:13:18+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,519.01%,28.37GiB / 436.8GiB,6.50%
2026-08-17T14:13:30+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,751.28%,32.92GiB / 436.8GiB,7.54%
2026-08-17T14:13:41+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,630.94%,37.08GiB / 436.8GiB,8.49%
2026-08-17T14:13:53+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,436.46%,41.53GiB / 436.8GiB,9.51%
2026-08-17T14:14:05+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,508.33%,45.65GiB / 436.8GiB,10.45%
2026-08-17T14:14:17+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,143.59%,49.79GiB / 436.8GiB,11.40%
2026-08-17T14:14:28+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,100.82%,53.8GiB / 436.8GiB,12.32%
2026-08-17T14:14:40+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,100.72%,53.8GiB / 436.8GiB,12.32%
2026-08-17T14:14:51+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,100.99%,53.8GiB / 436.8GiB,12.32%
2026-08-17T14:15:03+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,418.80%,54.05GiB / 436.8GiB,12.38%
2026-08-17T14:15:14+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,424.62%,54.05GiB / 436.8GiB,12.38%
2026-08-17T14:15:27+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,100.95%,53.8GiB / 436.8GiB,12.32%
2026-08-17T14:15:38+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,101.12%,53.8GiB / 436.8GiB,12.32%
2026-08-17T14:15:50+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,101.04%,53.8GiB / 436.8GiB,12.32%
2026-08-17T14:16:01+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,100.82%,53.8GiB / 436.8GiB,12.32%
2026-08-17T14:16:13+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,100.52%,53.8GiB / 436.8GiB,12.32%
2026-08-17T14:16:25+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,101.02%,53.8GiB / 436.8GiB,12.32%
2026-08-17T14:16:37+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,100.98%,53.8GiB / 436.8GiB,12.32%
2026-08-17T14:16:48+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,100.24%,53.8GiB / 436.8GiB,12.32%
2026-08-17T14:17:00+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,100.59%,53.8GiB / 436.8GiB,12.32%
2026-08-17T14:17:11+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,398.77%,54.07GiB / 436.8GiB,12.38%
2026-08-17T14:17:23+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,353.53%,54.03GiB / 436.8GiB,12.37%
2026-08-17T14:17:34+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,439.74%,54.13GiB / 436.8GiB,12.39%
2026-08-17T14:17:47+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,389.53%,54.13GiB / 436.8GiB,12.39%
2026-08-17T14:17:58+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,404.01%,54.17GiB / 436.8GiB,12.40%
2026-08-17T14:18:10+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,369.62%,54.13GiB / 436.8GiB,12.39%
2026-08-17T14:18:21+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,100.95%,53.8GiB / 436.8GiB,12.32%
2026-08-17T14:18:33+02:00,vmemoryfabric-osx-dev-run-e37af10a082f,100.57%,53.8GiB / 436.8GiB,12.32%
